"Electricity statistics (MW/GWh) by Country/area, Technology, Data Type, Grid connection and Year"

"Country/area";"Technology";"Data Type";"Grid connection";"Year";Electricity statistics (MW/GWh)
"Albania";"Oil";"Electricity Generation (GWh)";"On-grid";"2000";184.0000
"Albania";"Oil";"Electricity Generation (GWh)";"Off-grid";"2000";-
"Albania";"Natural gas";"Electricity Installed Capacity (MW)";"All";"2000";-
"Albania";"Natural gas";"Electricity Installed Capacity (MW)";"On-grid";"2000";-
"Albania";"Natural gas";"Electricity Installed Capacity (MW)";"Off-grid";"2000";-
"Albania";"Natural gas";"Electricity Generation (GWh)";"All";"2000";-
"Albania";"Natural gas";"Electricity Generation (GWh)";"On-grid";"2000";-
"Albania";"Natural gas";"Electricity Generation (GWh)";"Off-grid";"2000";-
"Albania";"Fossil fuels n.e.s.";"Electricity Installed Capacity (MW)";"All";"2000";-
"Albania";"Fossil fuels n.e.s.";"Electricity Installed Capacity (MW)";"On-grid";"2000";-
"Albania";"Fossil fuels n.e.s.";"Electricity Installed Capacity (MW)";"Off-grid";"2000";-
"Albania";"Fossil fuels n.e.s.";"Electricity Generation (GWh)";"All";"2000";-
"Albania";"Fossil fuels n.e.s.";"Electricity Generation (GWh)";"On-grid";"2000";-
"Albania";"Fossil fuels n.e.s.";"Electricity Generation (GWh)";"Off-grid";"2000";-
"Albania";"Nuclear";"Electricity Installed Capacity (MW)";"All";"2000";-
"Albania";"Nuclear";"Electricity Installed Capacity (MW)";"On-grid";"2000";-
"Albania";"Nuclear";"Electricity Installed Capacity (MW)";"Off-grid";"2000";-
"Albania";"Nuclear";"Electricity Generation (GWh)";"All";"2000";-
"Albania";"Nuclear";"Electricity Generation (GWh)";"On-grid";"2000";-
"Albania";"Nuclear";"Electricity Generation (GWh)";"Off-grid";"2000";-
"Albania";"Other non-renewable energy";"Electricity Installed Capacity (MW)";"All";"2000";-
"Albania";"Other non-renewable energy";"Electricity Installed Capacity (MW)";"On-grid";"2000";-
"Albania";"Other non-renewable energy";"Electricity Installed Capacity (MW)";"Off-grid";"2000";-
"Albania";"Other non-renewable energy";"Electricity Generation (GWh)";"All";"2000";-
"Albania";"Other non-renewable energy";"Electricity Generation (GWh)";"On-grid";"2000";-
"Albania";"Other non-renewable energy";"Electricity Generation (GWh)";"Off-grid";"2000";-
"Algeria";"Total Renewable";"Electricity Installed Capacity (MW)";"All";"2000";276.6000
"Algeria";"Total Renewable";"Electricity Installed Capacity (MW)";"On-grid";"2000";276.6000
"Algeria";"Total Renewable";"Electricity Installed Capacity (MW)";"Off-grid";"2000";-
"Algeria";"Total Renewable";"Electricity Generation (GWh)";"All";"2000";54.0000
"Algeria";"Total Renewable";"Electricity Generation (GWh)";"On-grid";"2000";54.0000
"Algeria";"Total Renewable";"Electricity Generation (GWh)";"Off-grid";"2000";-
"Algeria";"Solar photovoltaic";"Electricity Installed Capacity (MW)";"All";"2000";-
"Algeria";"Solar photovoltaic";"Electricity Installed Capacity (MW)";"On-grid";"2000";-
"Algeria";"Solar photovoltaic";"Electricity Installed Capacity (MW)";"Off-grid";"2000";-
"Algeria";"Solar photovoltaic";"Electricity Generation (GWh)";"All";"2000";-
"Algeria";"Solar photovoltaic";"Electricity Generation (GWh)";"On-grid";"2000";-
"Algeria";"Solar photovoltaic";"Electricity Generation (GWh)";"Off-grid";"2000";-
"Algeria";"Solar thermal energy";"Electricity Installed Capacity (MW)";"All";"2000";-
"Algeria";"Solar thermal energy";"Electricity Installed Capacity (MW)";"On-grid";"2000";-
"Algeria";"Solar thermal energy";"Electricity Installed Capacity (MW)";"Off-grid";"2000";-
"Algeria";"Solar thermal energy";"Electricity Generation (GWh)";"All";"2000";-
"Algeria";"Solar thermal energy";"Electricity Generation (GWh)";"On-grid";"2000";-
"Algeria";"Solar thermal energy";"Electricity Generation (GWh)";"Off-grid";"2000";-
"Algeria";"Onshore wind energy";"Electricity Installed Capacity (MW)";"All";"2000";-
