Biomass,Biomass,Fossil Gas,Fossil Gas,Fossil Hard coal,Fossil Hard coal,Hydro Run-of-river and poundage,Hydro Run-of-river and poundage,Nuclear,Nuclear,Other,Other,Solar,Solar,Waste,Waste,Wind Offshore,Wind Offshore,Wind Onshore,Wind Onshore
Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption
45.0,0.0,1493.0,23.0,1327.0,25.0,0.0,0.0,486.0,0.0,2166.0,1444.0,1.0,1.0,428.0,0.0,317.0,9.0,1184.0,0.0
45.0,0.0,1479.0,25.0,1381.0,22.0,0.0,0.0,486.0,0.0,2022.0,1486.0,1.0,1.0,430.0,0.0,417.0,2.0,1109.0,0.0
45.0,0.0,1489.0,26.0,1400.0,21.0,0.0,0.0,486.0,0.0,1886.0,1534.0,1.0,1.0,422.0,0.0,418.0,2.0,1175.0,0.0
45.0,0.0,1511.0,24.0,1398.0,21.0,0.0,0.0,486.0,0.0,1751.0,1584.0,1.0,1.0,422.0,0.0,490.0,2.0,1206.0,0.0
45.0,0.0,1602.0,22.0,1405.0,22.0,0.0,0.0,486.0,0.0,1725.0,1592.0,1.0,1.0,416.0,0.0,470.0,2.0,1259.0,0.0
45.0,0.0,1594.0,23.0,1480.0,22.0,0.0,0.0,486.0,0.0,1621.0,1651.0,1.0,1.0,414.0,0.0,416.0,2.0,1231.0,0.0
45.0,0.0,1662.0,23.0,1525.0,22.0,0.0,0.0,486.0,0.0,1562.0,1667.0,1.0,1.0,409.0,0.0,545.0,2.0,1197.0,0.0
45.0,0.0,1703.0,23.0,1559.0,22.0,0.0,0.0,486.0,0.0,1652.0,1710.0,1.0,1.0,402.0,0.0,765.0,4.0,1228.0,0.0
45.0,0.0,1746.0,24.0,1579.0,22.0,0.0,0.0,486.0,0.0,1817.0,1723.0,1.0,1.0,405.0,0.0,645.0,6.0,1386.0,0.0
45.0,0.0,1845.0,28.0,1662.0,22.0,0.0,0.0,486.0,0.0,1943.0,1738.0,1.0,1.0,374.0,4.0,503.0,5.0,1183.0,0.0
44.0,0.0,1903.0,28.0,1795.0,22.0,0.0,0.0,486.0,0.0,1957.0,1695.0,1.0,1.0,375.0,9.0,566.0,6.0,1184.0,0.0
44.0,0.0,1957.0,28.0,1844.0,18.0,0.0,0.0,486.0,0.0,2030.0,1679.0,1.0,1.0,380.0,10.0,591.0,5.0,1060.0,0.0
44.0,0.0,2020.0,28.0,1877.0,19.0,0.0,0.0,486.0,0.0,2084.0,1651.0,1.0,1.0,374.0,10.0,714.0,6.0,1005.0,0.0
44.0,0.0,2026.0,28.0,1939.0,19.0,0.0,0.0,486.0,0.0,2056.0,1642.0,1.0,1.0,376.0,10.0,796.0,6.0,919.0,0.0
44.0,0.0,2115.0,29.0,1984.0,19.0,0.0,0.0,486.0,0.0,2099.0,1622.0,1.0,1.0,381.0,4.0,815.0,6.0,822.0,0.0
44.0,0.0,2169.0,29.0,2005.0,17.0,0.0,0.0,486.0,0.0,2252.0,1588.0,1.0,1.0,385.0,1.0,765.0,5.0,786.0,0.0
45.0,0.0,2137.0,29.0,2014.0,16.0,0.0,0.0,486.0,0.0,2160.0,1552.0,1.0,1.0,395.0,1.0,784.0,5.0,781.0,0.0
45.0,0.0,2098.0,29.0,2025.0,15.0,0.0,0.0,486.0,0.0,2002.0,1591.0,1.0,1.0,411.0,1.0,878.0,8.0,705.0,0.0
45.0,0.0,2076.0,29.0,2011.0,14.0,0.0,0.0,486.0,0.0,1993.0,1574.0,1.0,0.0,411.0,1.0,972.0,7.0,804.0,0.0
45.0,0.0,2148.0,30.0,2003.0,18.0,0.0,0.0,486.0,0.0,1928.0,1567.0,6.0,0.0,401.0,1.0,966.0,6.0,847.0,0.0
45.0,0.0,2136.0,29.0,2015.0,18.0,0.0,0.0,486.0,0.0,2028.0,1509.0,9.0,0.0,401.0,1.0,967.0,6.0,838.0,0.0
